지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),적설(cm),지면온도(°C)
108,서울,2018-01-02 20:00,-1.9,,2.2,26,,,-2.2
108,서울,2018-01-02 21:00,-2.6,,2,28,,,-2.9
108,서울,2018-01-02 22:00,-3.4,,2.4,33,,,-2.9
108,서울,2018-01-02 23:00,-3.8,,2.3,35,,,-3.3
108,서울,2018-01-03 00:00,-4.3,,1.4,38,,,-3.6
108,서울,2018-01-03 01:00,-5,,1.2,42,,,-4.3
108,서울,2018-01-03 02:00,-5.5,,2,43,,,-4.8
108,서울,2018-01-03 03:00,-6.1,,1.3,45,,,-5.2
108,서울,2018-01-03 04:00,-6.1,,2.3,45,,,-5.5
108,서울,2018-01-03 05:00,-6.4,,2.4,47,,,-5.7
108,서울,2018-01-03 06:00,-6.7,,2.4,48,,,-6
108,서울,2018-01-03 07:00,-6.9,,2.4,48,,,-6.2
108,서울,2018-01-03 08:00,-7,,1.5,49,0,,-6.1
108,서울,2018-01-03 09:00,-6.8,,1.7,44,.6,,-5
108,서울,2018-01-03 10:00,-5.6,,2.9,38,1,,-2.4
108,서울,2018-01-03 11:00,-4.5,,3.2,36,1,,-.6
108,서울,2018-01-03 12:00,-3.4,,3.1,32,1,,0
108,서울,2018-01-03 13:00,-2.2,,2.3,31,1,,.9
108,서울,2018-01-03 14:00,-1.5,,2.8,30,1,,1.1
108,서울,2018-01-03 15:00,-1.1,,2.8,29,1,,.6
108,서울,2018-01-03 16:00,-.4,,2,30,1,,0
108,서울,2018-01-03 17:00,-1.9,,1.8,35,1,,-.8
108,서울,2018-01-03 18:00,-3.1,,2.1,39,0,,-1.7
108,서울,2018-01-03 19:00,-3.7,,2,41,,,-2.7
108,서울,2018-01-03 20:00,-3.9,,2.5,44,,,-3.3
108,서울,2018-01-03 21:00,-4.3,,2.8,47,,,-3.9
108,서울,2018-01-03 22:00,-5.2,,1.3,53,,,-4.4
108,서울,2018-01-03 23:00,-5.9,,.8,54,,,-4.7
108,서울,2018-01-04 00:00,-6.3,,1.4,54,,,-5.2
108,서울,2018-01-04 01:00,-6.9,,2.3,56,,,-5.7
108,서울,2018-01-04 02:00,-7.3,,2,57,,,-6.1
108,서울,2018-01-04 03:00,-7.4,,1.7,54,,,-6.2
108,서울,2018-01-04 04:00,-7.5,,1.3,55,,,-6.2
108,서울,2018-01-04 05:00,-7.6,,1.3,49,,,-6.6
108,서울,2018-01-04 06:00,-7.6,,2.3,47,,,-6.5
108,서울,2018-01-04 07:00,-8.1,,.5,51,,,-6.7
108,서울,2018-01-04 08:00,-8.6,,.6,55,0,,-6.8
108,서울,2018-01-04 09:00,-7.9,,1.2,48,.3,,-5.5
108,서울,2018-01-04 10:00,-6.4,,1,43,1,,-3
108,서울,2018-01-04 11:00,-4.4,,.8,40,1,,-.7
108,서울,2018-01-04 12:00,-2.9,,.9,33,1,,0
108,서울,2018-01-04 13:00,-2,,1,32,1,,.7
108,서울,2018-01-04 14:00,-.8,,1.4,32,1,,.8
108,서울,2018-01-04 15:00,-1.2,,.8,31,.6,,.4
108,서울,2018-01-04 16:00,-1.4,,1.8,34,.3,,0
108,서울,2018-01-04 17:00,-2.1,,1.4,37,0,,-.1
108,서울,2018-01-04 18:00,-2.6,,1.4,38,0,,-.7
108,서울,2018-01-04 19:00,-2.7,,1.4,39,,,-1
108,서울,2018-01-04 20:00,-2.8,,1.7,39,,,-1.4
108,서울,2018-01-04 21:00,-3.1,,2,41,,,-1.8
108,서울,2018-01-04 22:00,-3.6,,1.3,46,,,-2.8
108,서울,2018-01-04 23:00,-4,,1.5,48,,,-3.4
108,서울,2018-01-05 00:00,-4.7,,1.8,52,,,-4.1
108,서울,2018-01-05 01:00,-5.1,,1.5,51,,,-4.2
108,서울,2018-01-05 02:00,-5.3,,1.6,52,,,-4.5
108,서울,2018-01-05 03:00,-5.5,,1.1,56,,,-4.8
108,서울,2018-01-05 04:00,-5.1,,1.7,55,,,-4.3
108,서울,2018-01-05 05:00,-5.1,,1.5,55,,,-4.1
108,서울,2018-01-05 06:00,-5.1,,1.3,54,,,-4.2
108,서울,2018-01-05 07:00,-5.3,,1.1,53,,,-4.7
108,서울,2018-01-05 08:00,-5.3,,1,51,0,,-4.6
108,서울,2018-01-05 09:00,-4.7,,1.2,49,0,,-3.6
108,서울,2018-01-05 10:00,-3.3,,1.3,50,1,,-1.3
108,서울,2018-01-05 11:00,-.7,,1.5,45,1,,0
108,서울,2018-01-05 12:00,-.3,,2.2,45,1,,.7
108,서울,2018-01-05 13:00,.9,,2,43,1,,1.5
108,서울,2018-01-05 14:00,1.4,,2,41,1,,1.7
108,서울,2018-01-05 15:00,1.5,,2.8,34,1,,1.1
108,서울,2018-01-05 16:00,1,,2.9,34,1,,0
108,서울,2018-01-05 17:00,-.6,,3.3,45,1,,-.3
108,서울,2018-01-05 18:00,-1.8,,2.2,44,.2,,-1
108,서울,2018-01-05 19:00,-2.5,,.6,49,,,-1.7
108,서울,2018-01-05 20:00,-3.4,,1.1,51,,,-2.5
108,서울,2018-01-05 21:00,-3.5,,.9,53,,,-3.2
108,서울,2018-01-05 22:00,-3.8,,1.3,53,,,-3.8
108,서울,2018-01-05 23:00,-3.6,,1.9,50,,,-4.1
108,서울,2018-01-06 00:00,-4.3,,1.6,52,,,-4.7
108,서울,2018-01-06 01:00,-4.8,,1.2,54,,,-5.2
108,서울,2018-01-06 02:00,-5.5,,1.4,56,,,-5.7
108,서울,2018-01-06 03:00,-5.6,,1,56,,,-5.9
108,서울,2018-01-06 04:00,-5.9,,1.1,61,,,-6.3
108,서울,2018-01-06 05:00,-6.1,,1,64,,,-6.6
108,서울,2018-01-06 06:00,-6.5,,.7,67,,,-6.8
108,서울,2018-01-06 07:00,-6.6,,1,65,,,-6.9
108,서울,2018-01-06 08:00,-6.5,,1.1,62,0,,-6.9
108,서울,2018-01-06 09:00,-5.8,,1.4,49,.6,,-5.2
108,서울,2018-01-06 10:00,-3.5,,2,39,1,,-2
108,서울,2018-01-06 11:00,-1.6,,2.1,35,1,,-.2
108,서울,2018-01-06 12:00,0,,2.3,35,1,,.4
108,서울,2018-01-06 13:00,.9,,2.4,28,1,,1.5
108,서울,2018-01-06 14:00,1.8,,2,29,1,,2.3
108,서울,2018-01-06 15:00,2.3,,2.2,27,1,,1.6
108,서울,2018-01-06 16:00,2.7,,2.2,27,1,,-.2
108,서울,2018-01-06 17:00,1.1,,1.7,31,1,,-.2
108,서울,2018-01-06 18:00,-.6,,1.6,37,.2,,-.8
108,서울,2018-01-06 19:00,-1.2,,1.2,37,,,-1.2
108,서울,2018-01-06 20:00,-2.1,,1.1,41,,,-2.2
108,서울,2018-01-06 21:00,-2.5,,.8,47,,,-2.9
108,서울,2018-01-06 22:00,-2.6,,1.6,47,,,-3.3
108,서울,2018-01-06 23:00,-3.2,,.8,50,,,-4
108,서울,2018-01-07 00:00,-3.8,,.7,48,,,-4.6
108,서울,2018-01-07 01:00,-3.9,,.2,51,,,-5.1
108,서울,2018-01-07 02:00,-4.4,,.3,53,,,-5.6
108,서울,2018-01-07 03:00,-4.8,,.6,56,,,-5.9
108,서울,2018-01-07 04:00,-5.1,,.7,60,,,-6.2
108,서울,2018-01-07 05:00,-5.6,,.7,58,,,-6.3
108,서울,2018-01-07 06:00,-5.5,,.7,52,,,-6.2
108,서울,2018-01-07 07:00,-5.6,,.9,58,,,-6
108,서울,2018-01-07 08:00,-5.3,,1.1,53,0,,-6
108,서울,2018-01-07 09:00,-3.8,,1.6,49,.5,,-3.6
108,서울,2018-01-07 10:00,-1.8,,1.8,40,1,,-1.2
108,서울,2018-01-07 11:00,.5,,1.4,35,1,,0
108,서울,2018-01-07 12:00,1.1,,.9,34,.6,,.4
108,서울,2018-01-07 13:00,1.4,,.8,34,0,,.7
108,서울,2018-01-07 14:00,1.9,,.7,32,0,,1
108,서울,2018-01-07 15:00,2.7,,.9,31,0,,1
108,서울,2018-01-07 16:00,2.6,,1,32,0,,.8
108,서울,2018-01-07 17:00,2.3,,.2,33,0,,-.1
108,서울,2018-01-07 18:00,1.8,,1.2,34,0,,0
108,서울,2018-01-07 19:00,1.6,,1,35,,,-.1
108,서울,2018-01-07 20:00,1.3,,.4,38,,,-.1
108,서울,2018-01-07 21:00,1.2,,.6,39,,,-.2
108,서울,2018-01-07 22:00,1.1,,.5,40,,,-.2
108,서울,2018-01-07 23:00,1.1,,.6,39,,,-.2
108,서울,2018-01-08 00:00,.9,,1.1,42,,,-.2
108,서울,2018-01-08 01:00,.9,,.2,42,,,-.3
108,서울,2018-01-08 02:00,.8,,.5,42,,,-.3
108,서울,2018-01-08 03:00,.9,,.4,43,,,-.3
108,서울,2018-01-08 04:00,1,,.8,43,,,-.3
108,서울,2018-01-08 05:00,.8,,1,42,,,-.4
108,서울,2018-01-08 06:00,.8,0,.7,45,,,-.4
108,서울,2018-01-08 07:00,.7,,.8,44,,,-.6
108,서울,2018-01-08 08:00,.7,,.7,45,0,,-.6
108,서울,2018-01-08 09:00,.8,,.9,47,0,,-.2
108,서울,2018-01-08 10:00,1.3,,.8,43,0,,0
108,서울,2018-01-08 11:00,1.7,,.6,37,0,,.1
108,서울,2018-01-08 12:00,2.7,,2.7,33,.5,,1.1
108,서울,2018-01-08 13:00,3,,1.6,32,0,,1.3
108,서울,2018-01-08 14:00,3.4,,1.4,31,0,,1.8
108,서울,2018-01-08 15:00,3.9,,1.8,33,0,,2.2
108,서울,2018-01-08 16:00,3.5,,1.7,36,0,,.5
108,서울,2018-01-08 17:00,2.7,,2.8,50,0,,0
108,서울,2018-01-08 18:00,1.5,0,2.5,70,0,,0
108,서울,2018-01-08 19:00,.9,,1.6,88,,.5,0
108,서울,2018-01-08 20:00,1,,1.9,89,,1,0
108,서울,2018-01-08 21:00,.7,.9,6.7,77,,1,0
108,서울,2018-01-08 22:00,.1,,4.6,68,,1,0
108,서울,2018-01-08 23:00,-.6,,4.2,62,,1,-.1
108,서울,2018-01-09 00:00,-1.2,0,4.6,67,,1,-.1
108,서울,2018-01-09 01:00,-1.9,,5,69,,1,-.2
108,서울,2018-01-09 02:00,-2.9,,3.3,66,,1,-.4
108,서울,2018-01-09 03:00,-3.4,0,3.2,67,,.9,-.6
108,서울,2018-01-09 04:00,-4.3,,4.4,59,,.9,-.9
108,서울,2018-01-09 05:00,-5.1,,3.2,48,,.9,-1.4
108,서울,2018-01-09 06:00,-5.6,,3.7,52,,.9,-1.9
108,서울,2018-01-09 07:00,-5.9,,3.1,57,,.8,-2.2
108,서울,2018-01-09 08:00,-6,,3.2,64,0,.7,-2.5
108,서울,2018-01-09 09:00,-6,,2.5,61,.4,.6,-2.3
108,서울,2018-01-09 10:00,-4.8,,3,57,1,.5,-1.3
108,서울,2018-01-09 11:00,-3.9,,4.5,51,1,.5,-.5
108,서울,2018-01-09 12:00,-2.7,,2.4,45,1,.4,-.1
108,서울,2018-01-09 13:00,-2.6,,4,45,1,.3,0
108,서울,2018-01-09 14:00,-1.8,,3.7,45,1,.2,.2
108,서울,2018-01-09 15:00,-2.4,0,4.6,51,.8,,0
108,서울,2018-01-09 16:00,-2.4,,3.3,56,1,,0
108,서울,2018-01-09 17:00,-2.9,,3.6,66,1,,-.2
108,서울,2018-01-09 18:00,-3.8,0,1.7,58,.2,,-1
108,서울,2018-01-09 19:00,-4.5,,.6,57,,,-1.8
108,서울,2018-01-09 20:00,-4.9,,.6,59,,,-2.2
108,서울,2018-01-09 21:00,-4.8,,.9,59,,,-2.1
108,서울,2018-01-09 22:00,-4.2,,1.6,67,,,-2
108,서울,2018-01-09 23:00,-4.9,,.7,80,,.2,-2
108,서울,2018-01-10 00:00,-5.2,.5,.8,82,,.5,-1.9
108,서울,2018-01-10 01:00,-5.6,,1.7,75,,.8,-2
108,서울,2018-01-10 02:00,-5.7,,1.2,72,,.8,-2
108,서울,2018-01-10 03:00,-6.1,.3,1.1,70,,.8,-2.4
108,서울,2018-01-10 04:00,-6.6,,2.2,72,,.8,-2.9
108,서울,2018-01-10 05:00,-7.3,,1.6,75,,.8,-3.3
108,서울,2018-01-10 06:00,-7.7,,1.1,74,,.8,-3.6
108,서울,2018-01-10 07:00,-8,,1.8,70,,.7,-3.9
108,서울,2018-01-10 08:00,-7.9,,2.6,67,0,.7,-4
108,서울,2018-01-10 09:00,-7.7,,3.6,62,.5,.7,-3.6
108,서울,2018-01-10 10:00,-6.9,,3.2,53,1,.6,-2.3
108,서울,2018-01-10 11:00,-6.4,,4.5,49,1,.5,-1.2
108,서울,2018-01-10 12:00,-5.6,,4.5,44,1,.5,-.5
108,서울,2018-01-10 13:00,-5.1,,4.7,43,1,.4,-.2
108,서울,2018-01-10 14:00,-5.3,,5.3,37,1,.3,-.1
108,서울,2018-01-10 15:00,-5.3,,4.8,33,1,.3,-.1
108,서울,2018-01-10 16:00,-5.4,,3.9,30,1,.2,-.6
108,서울,2018-01-10 17:00,-6.5,,4,34,1,,-2.1
108,서울,2018-01-10 18:00,-7.8,,4.5,32,.3,,-3.4
108,서울,2018-01-10 19:00,-8.5,,2.9,35,,,-4.4
108,서울,2018-01-10 20:00,-8.9,,2.3,41,,,-5
108,서울,2018-01-10 21:00,-9.4,,2,47,,,-5.5
108,서울,2018-01-10 22:00,-9.7,,2.8,51,,,-5.9
108,서울,2018-01-10 23:00,-10.2,,3.3,53,,,-6.1
108,서울,2018-01-11 00:00,-10.3,,2.4,54,,,-6.3
108,서울,2018-01-11 01:00,-10.6,,2.9,55,,,-6.6
108,서울,2018-01-11 02:00,-10.9,,2.7,57,,,-6.8
108,서울,2018-01-11 03:00,-11.2,,2.9,59,,,-6.9
108,서울,2018-01-11 04:00,-11.5,,2.3,57,,,-7.2
108,서울,2018-01-11 05:00,-11.9,,1.8,61,,,-7.4
108,서울,2018-01-11 06:00,-12,,2.3,61,,,-7.5
108,서울,2018-01-11 07:00,-12.3,,2.3,59,,,-7.7
108,서울,2018-01-11 08:00,-12.6,,1.6,61,0,,-7.9
108,서울,2018-01-11 09:00,-12,,2.6,53,.4,,-7.1
108,서울,2018-01-11 10:00,-11.1,,3.7,46,1,,-5.4
108,서울,2018-01-11 11:00,-10.2,,3.5,41,1,,-3.6
108,서울,2018-01-11 12:00,-8.6,,2.6,40,1,,-1.8
108,서울,2018-01-11 13:00,-8.6,,3.4,41,1,,-.9
108,서울,2018-01-11 14:00,-7.4,,3.3,38,1,,-.5
108,서울,2018-01-11 15:00,-8.3,,3.8,42,1,,-.9
108,서울,2018-01-11 16:00,-8.2,,2.8,39,1,,-1.8
108,서울,2018-01-11 17:00,-9.3,,2.8,43,1,,-3.8
108,서울,2018-01-11 18:00,-10.4,,2.3,43,.3,,-5.3
108,서울,2018-01-11 19:00,-10.9,,3,44,,,-6.2
108,서울,2018-01-11 20:00,-11.6,,1.8,49,,,-6.9
108,서울,2018-01-11 21:00,-12.4,,2.2,51,,,-7.6
108,서울,2018-01-11 22:00,-12.9,,2.8,52,,,-8.1
108,서울,2018-01-11 23:00,-13.2,,1.5,51,,,-8.5
108,서울,2018-01-12 00:00,-13.6,,1.6,49,,,-8.8
108,서울,2018-01-12 01:00,-13.7,,3,47,,,-9.1
108,서울,2018-01-12 02:00,-13.8,,2.6,43,,,-9.3
108,서울,2018-01-12 03:00,-14.1,,1.8,45,,,-9.6
108,서울,2018-01-12 04:00,-14.3,,2,45,,,-9.8
108,서울,2018-01-12 05:00,-14.6,,1.1,45,,,-10
108,서울,2018-01-12 06:00,-14.9,,2.3,45,,,-10.1
108,서울,2018-01-12 07:00,-15.1,,.9,45,,,-10.3
108,서울,2018-01-12 08:00,-15.1,,1.2,44,0,,-10.4
108,서울,2018-01-12 09:00,-14.9,,1.2,40,.5,,-9.5
108,서울,2018-01-12 10:00,-13,,2.2,37,1,,-6.8
108,서울,2018-01-12 11:00,-11.2,,2.4,31,1,,-4.1
108,서울,2018-01-12 12:00,-9.6,,2,27,1,,-2.3
108,서울,2018-01-12 13:00,-8.2,,2,29,1,,-1.1
108,서울,2018-01-12 14:00,-7.2,,2.3,28,1,,-.6
108,서울,2018-01-12 15:00,-6.5,,2.4,26,1,,-.6
108,서울,2018-01-12 16:00,-5.8,,1.1,21,1,,-1.6
108,서울,2018-01-12 17:00,-6.5,,1.5,22,1,,-3.5
108,서울,2018-01-12 18:00,-7.5,,2,28,.3,,-4.7
108,서울,2018-01-12 19:00,-8.2,,1.1,32,,,-5.6
108,서울,2018-01-12 20:00,-7.9,,1.4,31,,,-5
108,서울,2018-01-12 21:00,-7.4,,1.4,33,,,-4.8
108,서울,2018-01-12 22:00,-6.9,,1.6,39,,,-4.4
108,서울,2018-01-12 23:00,-6.7,,1.3,36,,,-4.3
108,서울,2018-01-13 00:00,-6.6,0,1.6,39,,,-4.2
108,서울,2018-01-13 01:00,-6.5,,.5,45,,,-4.2
108,서울,2018-01-13 02:00,-6.4,,.9,40,,,-4.3
108,서울,2018-01-13 03:00,-6.5,0,.7,42,,,-4.4
108,서울,2018-01-13 04:00,-6.4,,.8,46,,,-4.4
108,서울,2018-01-13 05:00,-6.3,,.8,51,,,-4.3
108,서울,2018-01-13 06:00,-6.4,0,.6,59,,,-4.1
108,서울,2018-01-13 07:00,-6.5,,.6,68,,,-3.9
108,서울,2018-01-13 08:00,-6.5,,.8,72,0,.2,-3.8
108,서울,2018-01-13 09:00,-6.3,.2,.6,76,0,.4,-3.1
108,서울,2018-01-13 10:00,-5.5,,.7,72,.4,.6,-2.1
108,서울,2018-01-13 11:00,-4.8,,1,70,0,.6,-1.3
108,서울,2018-01-13 12:00,-3.7,.2,1.1,66,0,.4,-.4
108,서울,2018-01-13 13:00,-2.5,,1.4,62,.3,,.7
108,서울,2018-01-13 14:00,-1.8,,.7,62,.2,,.5
108,서울,2018-01-13 15:00,-1.5,,.9,62,0,,.5
108,서울,2018-01-13 16:00,-1.2,,.9,63,0,,.1
108,서울,2018-01-13 17:00,-1.4,,1,68,0,,-.1
108,서울,2018-01-13 18:00,-2.6,,1,73,0,,-1.2
108,서울,2018-01-13 19:00,-3.3,,.8,76,,,-2.6
108,서울,2018-01-13 20:00,-3.9,,1.1,78,,,-3.6
108,서울,2018-01-13 21:00,-4.1,,.7,79,,,-4.1
108,서울,2018-01-13 22:00,-4.3,,.4,81,,,-4.6
108,서울,2018-01-13 23:00,-4.4,,.7,81,,,-4.8
108,서울,2018-01-14 00:00,-4.4,,.7,81,,,-4.5
108,서울,2018-01-14 01:00,-3.7,,.9,79,,,-3.1
108,서울,2018-01-14 02:00,-3.5,,1,78,,,-3.3
108,서울,2018-01-14 03:00,-3.6,,1.6,78,,,-4
108,서울,2018-01-14 04:00,-4,,1.2,79,,,-4.8
108,서울,2018-01-14 05:00,-4.2,,1.2,79,,,-4.4
108,서울,2018-01-14 06:00,-4.3,,1.1,79,,,-5.1
108,서울,2018-01-14 07:00,-4.4,,1.4,80,,,-4.8
108,서울,2018-01-14 08:00,-3.8,,.8,79,0,,-3.8
108,서울,2018-01-14 09:00,-3.4,,1.6,77,.1,,-2.9
108,서울,2018-01-14 10:00,-2.1,,1.7,72,.5,,-.9
108,서울,2018-01-14 11:00,-.5,,.7,64,.6,,.1
108,서울,2018-01-14 12:00,1.2,,.8,58,.6,,1.8
108,서울,2018-01-14 13:00,3,,1.4,52,1,,3.1
108,서울,2018-01-14 14:00,3.7,,.6,53,.8,,2.9
108,서울,2018-01-14 15:00,4.6,,.9,50,.6,,2.6
108,서울,2018-01-14 16:00,5.3,,1.8,49,.8,,1.6
108,서울,2018-01-14 17:00,4.5,,1.1,51,.6,,.7
108,서울,2018-01-14 18:00,4.1,,1.3,53,0,,.1
108,서울,2018-01-14 19:00,3.9,,1.1,54,,,.1
108,서울,2018-01-14 20:00,3.5,,1,55,,,-.2
108,서울,2018-01-14 21:00,3.1,,.4,58,,,0
108,서울,2018-01-14 22:00,2.8,,.6,60,,,0
108,서울,2018-01-14 23:00,2.7,,.6,60,,,0
108,서울,2018-01-15 00:00,3,,.5,60,,,.1
108,서울,2018-01-15 01:00,3,,.9,62,,,.1
108,서울,2018-01-15 02:00,3.6,,.9,65,,,.1
108,서울,2018-01-15 03:00,4.4,,1.7,70,,,.3
108,서울,2018-01-15 04:00,4.9,,1.8,73,,,.7
108,서울,2018-01-15 05:00,5,,1.9,76,,,1
108,서울,2018-01-15 06:00,4.9,0,3,83,,,1.3
108,서울,2018-01-15 07:00,4.4,,1,87,,,.6
108,서울,2018-01-15 08:00,4.1,,1.1,85,0,,-.4
108,서울,2018-01-15 09:00,3.9,.2,1.7,86,0,,.6
108,서울,2018-01-15 10:00,4.2,,2.2,82,.1,,2.3
108,서울,2018-01-15 11:00,4.7,,2.3,75,1,,3.1
108,서울,2018-01-15 12:00,6.2,,1.9,64,1,,5.8
108,서울,2018-01-15 13:00,6.1,,2.3,61,1,,6
108,서울,2018-01-15 14:00,7.1,,2.1,52,.8,,6.2
108,서울,2018-01-15 15:00,7.4,,1.7,38,1,,5.1
108,서울,2018-01-15 16:00,7.5,,.9,37,.8,,3.2
108,서울,2018-01-15 17:00,6.5,,.8,40,.8,,0
108,서울,2018-01-15 18:00,5.2,,1.3,44,0,,0
108,서울,2018-01-15 19:00,4.4,,1.2,53,,,0
108,서울,2018-01-15 20:00,3.7,,1.3,58,,,0
108,서울,2018-01-15 21:00,3.4,,.8,59,,,0
108,서울,2018-01-15 22:00,3,,1.6,61,,,0
108,서울,2018-01-15 23:00,2.4,,.6,63,,,-.1
108,서울,2018-01-16 00:00,1.8,,1.2,67,,,-.3
108,서울,2018-01-16 01:00,1.2,,.7,64,,,-.4
108,서울,2018-01-16 02:00,.5,,.7,72,,,-.5
108,서울,2018-01-16 03:00,.3,,.6,70,,,-.4
108,서울,2018-01-16 04:00,.8,,.7,65,,,-.2
108,서울,2018-01-16 05:00,1.1,,.5,64,,,-.2
108,서울,2018-01-16 06:00,1.2,,.6,69,,,-.2
108,서울,2018-01-16 07:00,1.1,,.6,69,,,-.2
108,서울,2018-01-16 08:00,1.2,,.6,68,0,,-.2
108,서울,2018-01-16 09:00,1.9,,.8,65,0,,0
108,서울,2018-01-16 10:00,2.7,,.5,60,0,,0
108,서울,2018-01-16 11:00,3.9,,.8,57,0,,.3
108,서울,2018-01-16 12:00,5.2,,1.2,52,0,,1.3
108,서울,2018-01-16 13:00,5.8,,.8,47,0,,2.1
108,서울,2018-01-16 14:00,6.5,,.8,43,.5,,3
108,서울,2018-01-16 15:00,6.3,,.3,40,0,,2.8
108,서울,2018-01-16 16:00,5.8,,.9,50,0,,2.2
108,서울,2018-01-16 17:00,5.2,,.8,58,0,,1.5
108,서울,2018-01-16 18:00,4.9,0,1.4,59,0,,.8
108,서울,2018-01-16 19:00,4.6,,1,57,,,.7
108,서울,2018-01-16 20:00,4.5,,.8,58,,,.6
108,서울,2018-01-16 21:00,4.3,,.7,56,,,.3
108,서울,2018-01-16 22:00,4,,.3,57,,,0
108,서울,2018-01-16 23:00,3.9,,.9,60,,,-.1
108,서울,2018-01-17 00:00,3.5,,.4,62,,,-.2
108,서울,2018-01-17 01:00,3.3,,.4,64,,,-.4
108,서울,2018-01-17 02:00,3.1,,.8,65,,,0
108,서울,2018-01-17 03:00,3,,.8,67,,,0
108,서울,2018-01-17 04:00,3,,.5,68,,,0
108,서울,2018-01-17 05:00,2.9,,.8,66,,,0
108,서울,2018-01-17 06:00,2.7,,1.1,71,,,0
108,서울,2018-01-17 07:00,2.5,,.9,71,,,0
108,서울,2018-01-17 08:00,2.6,,.6,70,0,,0
108,서울,2018-01-17 09:00,3,,.7,66,0,,.1
108,서울,2018-01-17 10:00,4.3,,.5,58,0,,2.7
108,서울,2018-01-17 11:00,6,,1,51,.7,,5.2
108,서울,2018-01-17 12:00,8.1,,1.4,51,.9,,7.5
108,서울,2018-01-17 13:00,8,,1.8,54,.4,,7.1
108,서울,2018-01-17 14:00,7.7,,2.6,54,.6,,7.1
108,서울,2018-01-17 15:00,8.5,,1.3,49,1,,6.8
108,서울,2018-01-17 16:00,8.3,,1.2,54,1,,4.7
108,서울,2018-01-17 17:00,7.2,,3.3,57,.2,,2.4
108,서울,2018-01-17 18:00,5.2,,2.9,62,0,,.4
108,서울,2018-01-17 19:00,4.2,,2.4,68,,,-.8
108,서울,2018-01-17 20:00,3.5,,1.7,72,,,0
108,서울,2018-01-17 21:00,3.1,,1.1,74,,,0
108,서울,2018-01-17 22:00,2.8,,.5,74,,,0
108,서울,2018-01-17 23:00,2.7,,.8,74,,,0
108,서울,2018-01-18 00:00,2.7,,1,73,,,0
108,서울,2018-01-18 01:00,3.2,,1.9,72,,,0
108,서울,2018-01-18 02:00,3.3,,1.2,73,,,0
