일자|시간|구분,공급량
2019-01-13 03 A,1665.0903
2019-01-13 04 A,1712.6862
2019-01-13 05 A,1901.0973
2019-01-13 06 A,2045.6171
2019-01-13 07 A,2297.6062
2019-01-13 08 A,2721.8542
2019-01-13 09 A,2831.4895
2019-01-13 10 A,2735.3088
2019-01-13 11 A,2672.4976
2019-01-13 12 A,2484.4822
2019-01-13 13 A,2293.287
2019-01-13 14 A,2166.7278
2019-01-13 15 A,2059.479
2019-01-13 16 A,2038.95
2019-01-13 17 A,2089.171
2019-01-13 18 A,2295.336
2019-01-13 19 A,2632.4958
2019-01-13 20 A,2680.5818
2019-01-13 21 A,2608.7432
2019-01-13 22 A,2537.5825
2019-01-13 23 A,2426.6636
2019-01-13 24 A,2264.332
2019-01-14 01 A,2028.4678
2019-01-14 02 A,1803.8689
2019-01-14 03 A,1746.1913
2019-01-14 04 A,1769.9349
2019-01-14 05 A,1947.7762
2019-01-14 06 A,2090.0571
2019-01-14 07 A,2357.1133
2019-01-14 08 A,2794.9177
2019-01-14 09 A,2905.1108
2019-01-14 10 A,2812.636
2019-01-14 11 A,2726.0244
2019-01-14 12 A,2526.188
2019-01-14 13 A,2310.955
2019-01-14 14 A,2175.065
2019-01-14 15 A,2064.6091
2019-01-14 16 A,2045.2654
2019-01-14 17 A,2094.915
2019-01-14 18 A,2301.8962
2019-01-14 19 A,2660.8738
2019-01-14 20 A,2722.3423
2019-01-14 21 A,2646.5627
2019-01-14 22 A,2566.1658
2019-01-14 23 A,2477.2075
2019-01-14 24 A,2289.589
2019-01-15 01 A,2027.309
2019-01-15 02 A,1802.7101
2019-01-15 03 A,1745.0325
2019-01-15 04 A,1768.0042
2019-01-15 05 A,1946.6174
2019-01-15 06 A,2069.8743
2019-01-15 07 A,2336.9312
2019-01-15 08 A,2770.4963
2019-01-15 09 A,2882.7075
2019-01-15 10 A,2763.1487
2019-01-15 11 A,2726.8833
2019-01-15 12 A,2523.8232
2019-01-15 13 A,2310.4941
2019-01-15 14 A,2174.604
2019-01-15 15 A,2063.6472
2019-01-15 16 A,2044.3037
2019-01-15 17 A,2093.9531
2019-01-15 18 A,2301.4353
2019-01-15 19 A,2660.4128
2019-01-15 20 A,2722.3696
2019-01-15 21 A,2658.822
2019-01-15 22 A,2565.0066
2019-01-15 23 A,2476.0483
2019-01-15 24 A,2288.43
2019-01-16 01 A,2037.442
2019-01-16 02 A,1776.356
2019-01-16 03 A,1684.537
2019-01-16 04 A,1704.5303
2019-01-16 05 A,1934.6447
2019-01-16 06 A,2040.4396
2019-01-16 07 A,2292.4285
2019-01-16 08 A,2716.6765
2019-01-16 09 A,2826.8218
2019-01-16 10 A,2773.9104
2019-01-16 11 A,2684.29
2019-01-16 12 A,2482.9026
2019-01-16 13 A,2309.986
2019-01-16 14 A,2174.096
2019-01-16 15 A,2056.103
2019-01-16 16 A,2036.7595
2019-01-16 17 A,2086.409
2019-01-16 18 A,2300.9272
2019-01-16 19 A,2659.9048
2019-01-16 20 A,2721.2195
2019-01-16 21 A,2658.314
2019-01-16 22 A,2535.4744
2019-01-16 23 A,2456.526
2019-01-16 24 A,2287.7856
2019-01-17 01 A,2024.1582
2019-01-17 02 A,1763.934
2019-01-17 03 A,1666.9043
2019-01-17 04 A,1712.378
2019-01-17 05 A,1913.5625
2019-01-17 06 A,2013.6729
2019-01-17 07 A,2307.502
2019-01-17 08 A,2739.1355
2019-01-17 09 A,2800.4585
2019-01-17 10 A,2748.783
2019-01-17 11 A,2649.3608
2019-01-17 12 A,2467.2778
2019-01-17 13 A,2295.8599
2019-01-17 14 A,2159.9697
2019-01-17 15 A,2041.9774
2019-01-17 16 A,2022.634
2019-01-17 17 A,2072.2827
2019-01-17 18 A,2286.801
2019-01-17 19 A,2646.7498
2019-01-17 20 A,2681.871
2019-01-17 21 A,2644.1877
2019-01-17 22 A,2521.3481
2019-01-17 23 A,2442.3997
2019-01-17 24 A,2273.6594
2019-01-18 01 A,2011.7251
2019-01-18 02 A,1759.9918
2019-01-18 03 A,1667.4781
2019-01-18 04 A,1684.9459
2019-01-18 05 A,1909.1711
2019-01-18 06 A,2014.9661
2019-01-18 07 A,2267.8745
2019-01-18 08 A,2690.4048
2019-01-18 09 A,2803.5405
2019-01-18 10 A,2707.0352
2019-01-18 11 A,2653.439
2019-01-18 12 A,2465.1807
2019-01-18 13 A,2277.268
2019-01-18 14 A,2150.7087
2019-01-18 15 A,2039.7527
2019-01-18 16 A,2020.4093
2019-01-18 17 A,2070.0579
2019-01-18 18 A,2277.5398
2019-01-18 19 A,2614.6997
2019-01-18 20 A,2663.274
2019-01-18 21 A,2605.4443
2019-01-18 22 A,2519.1233
2019-01-18 23 A,2408.2043
2019-01-18 24 A,2245.461
2019-01-19 01 A,2013.3993
2019-01-19 02 A,1768.67
2019-01-19 03 A,1649.4143
2019-01-19 04 A,1697.7936
2019-01-19 05 A,1878.7213
2019-01-19 06 A,2023.2411
2019-01-19 07 A,2276.1494
2019-01-19 08 A,2698.6797
2019-01-19 09 A,2805.9565
2019-01-19 10 A,2708.7092
2019-01-19 11 A,2655.113
2019-01-19 12 A,2466.8547
2019-01-19 13 A,2278.9421
2019-01-19 14 A,2152.3828
2019-01-19 15 A,2043.8179
2019-01-19 16 A,2023.2892
2019-01-19 17 A,2071.732
2019-01-19 18 A,2279.2139
2019-01-19 19 A,2582.7532
2019-01-19 20 A,2664.948
2019-01-19 21 A,2607.1184
2019-01-19 22 A,2520.7974
2019-01-19 23 A,2409.8784
2019-01-19 24 A,2235.4758
2019-01-20 01 A,2026.989
2019-01-20 02 A,1782.2598
2019-01-20 03 A,1669.8016
2019-01-20 04 A,1718.1809
2019-01-20 05 A,1899.1086
2019-01-20 06 A,2043.6284
2019-01-20 07 A,2296.5366
2019-01-20 08 A,2712.0923
2019-01-20 09 A,2820.9595
2019-01-20 10 A,2723.7122
2019-01-20 11 A,2671.4197
2019-01-20 12 A,2483.1614
2019-01-20 13 A,2254.2727
2019-01-20 14 A,2168.6895
2019-01-20 15 A,2027.9677
2019-01-20 16 A,2007.4388
2019-01-20 17 A,2055.8828
2019-01-20 18 A,2295.5205
2019-01-20 19 A,2632.6804
2019-01-20 20 A,2683.8525
2019-01-20 21 A,2625.738
2019-01-20 22 A,2538.537
2019-01-20 23 A,2427.6182
2019-01-20 24 A,2264.8748
2019-01-21 01 A,2036.9009
2019-01-21 02 A,1815.2073
2019-01-21 03 A,1697.6786
2019-01-21 04 A,1715.1464
2019-01-21 05 A,1939.3716
2019-01-21 06 A,2046.6364
2019-01-21 07 A,2299.5444
2019-01-21 08 A,2715.1
2019-01-21 09 A,2822.074
2019-01-21 10 A,2722.9595
2019-01-21 11 A,2681.782
2019-01-21 12 A,2485.4265
2019-01-21 13 A,2297.4915
2019-01-21 14 A,2177.9683
2019-01-21 15 A,2067.5125
2019-01-21 16 A,2048.1692
2019-01-21 17 A,2097.8184
2019-01-21 18 A,2304.7996
2019-01-21 19 A,2666.375
2019-01-21 20 A,2727.6897
2019-01-21 21 A,2664.912
2019-01-21 22 A,2558.8113
2019-01-21 23 A,2462.2441
2019-01-21 24 A,2293.092
2019-01-22 01 A,2037.0549
2019-01-22 02 A,1815.3613
2019-01-22 03 A,1671.27
2019-01-22 04 A,1694.8014
2019-01-22 05 A,1900.577
2019-01-22 06 A,2006.1482
2019-01-22 07 A,2298.0051
2019-01-22 08 A,2713.5608
2019-01-22 09 A,2775.3813
2019-01-22 10 A,2730.9998
2019-01-22 11 A,2672.419
2019-01-22 12 A,2447.1624
2019-01-22 13 A,2256.6697
2019-01-22 14 A,2178.1226
2019-01-22 15 A,2067.6667
2019-01-22 16 A,2048.3232
2019-01-22 17 A,2097.9727
2019-01-22 18 A,2304.9539
2019-01-22 19 A,2666.5293
2019-01-22 20 A,2727.844
2019-01-22 21 A,2665.0664
2019-01-22 22 A,2558.9656
2019-01-22 23 A,2462.3984
2019-01-22 24 A,2293.2463
2019-01-23 01 A,2026.3105
2019-01-23 02 A,1766.759
2019-01-23 03 A,1664.2697
2019-01-23 04 A,1689.1196
2019-01-23 05 A,1877.3018
2019-01-23 06 A,1978.524
2019-01-23 07 A,2231.889
2019-01-23 08 A,2665.543
2019-01-23 09 A,2779.1265
2019-01-23 10 A,2702.7488
2019-01-23 11 A,2668.9595
2019-01-23 12 A,2441.6572
2019-01-23 13 A,2231.7651
2019-01-23 14 A,2173.1409
2019-01-23 15 A,2054.647
2019-01-23 16 A,2035.3033
2019-01-23 17 A,2084.3276
2019-01-23 18 A,2298.846
2019-01-23 19 A,2656.959
2019-01-23 20 A,2694.6782
2019-01-23 21 A,2658.9585
2019-01-23 22 A,2535.239
2019-01-23 23 A,2441.9387
2019-01-23 24 A,2287.1384
2019-01-24 01 A,2024.4641
2019-01-24 02 A,1764.9126
2019-01-24 03 A,1662.4232
2019-01-24 04 A,1687.2732
2019-01-24 05 A,1875.4553
2019-01-24 06 A,1976.6776
2019-01-24 07 A,2230.0427
2019-01-24 08 A,2663.6968
2019-01-24 09 A,2777.2803
2019-01-24 10 A,2700.9026
2019-01-24 11 A,2667.1133
2019-01-24 12 A,2439.811
2019-01-24 13 A,2229.919
2019-01-24 14 A,2161.7961
2019-01-24 15 A,2050.7385
2019-01-24 16 A,2031.3947
2019-01-24 17 A,2077.0269
2019-01-24 18 A,2293.6074
2019-01-24 19 A,2651.7205
2019-01-24 20 A,2714.6619
2019-01-24 21 A,2651.5696
2019-01-24 22 A,2527.85
2019-01-24 23 A,2434.5498
2019-01-24 24 A,2281.619
2019-01-25 01 A,2067.963
2019-01-25 02 A,1885.6731
2019-01-25 03 A,1795.1813
2019-01-25 04 A,1838.0
2019-01-25 05 A,1998.4962
2019-01-25 06 A,2121.1055
2019-01-25 07 A,2389.0815
2019-01-25 08 A,2811.115
2019-01-25 09 A,2908.9355
2019-01-25 10 A,2851.5725
2019-01-25 11 A,2757.1294
2019-01-25 12 A,2542.6458
2019-01-25 13 A,2340.1912
2019-01-25 14 A,2233.2732
2019-01-25 15 A,2061.9185
2019-01-25 16 A,2042.5741
2019-01-25 17 A,2088.2068
2019-01-25 18 A,2359.1294
2019-01-25 19 A,2695.2834
2019-01-25 20 A,2752.1643
2019-01-25 21 A,2696.5896
2019-01-25 22 A,2576.8965
2019-01-25 23 A,2467.033
2019-01-25 24 A,2292.454
2019-01-26 01 A,2087.2288
2019-01-26 02 A,1870.8915
2019-01-26 03 A,1816.1401
2019-01-26 04 A,1842.0929
2019-01-26 05 A,1997.3098
2019-01-26 06 A,2122.7346
2019-01-26 07 A,2390.7104
2019-01-26 08 A,2812.0122
2019-01-26 09 A,2890.339
2019-01-26 10 A,2831.1506
2019-01-26 11 A,2734.9036
2019-01-26 12 A,2538.0146
2019-01-26 13 A,2325.318
2019-01-26 14 A,2236.1663
2019-01-26 15 A,2108.8425
2019-01-26 16 A,2090.4775
2019-01-26 17 A,2135.146
2019-01-26 18 A,2362.0676
2019-01-26 19 A,2677.051
2019-01-26 20 A,2750.9084
2019-01-26 21 A,2673.7852
2019-01-26 22 A,2565.0703
2019-01-26 23 A,2462.789
2019-01-26 24 A,2318.725
2019-01-27 01 A,2026.5703
2019-01-27 02 A,1808.798
2019-01-27 03 A,1732.5702
2019-01-27 04 A,1758.523
2019-01-27 05 A,1913.7399
2019-01-27 06 A,2042.2238
2019-01-27 07 A,2309.0798
2019-01-27 08 A,2745.1653
2019-01-27 09 A,2863.0544
2019-01-27 10 A,2803.866
2019-01-27 11 A,2710.9258
2019-01-27 12 A,2534.4158
2019-01-27 13 A,2321.231
2019-01-27 14 A,2232.079
2019-01-27 15 A,2104.7554
2019-01-27 16 A,2086.3904
2019-01-27 17 A,2127.7322
2019-01-27 18 A,2341.184
2019-01-27 19 A,2649.8691
2019-01-27 20 A,2723.1675
2019-01-27 21 A,2645.898
2019-01-27 22 A,2532.8804
2019-01-27 23 A,2430.54
2019-01-27 24 A,2232.7932
2019-01-28 01 A,2002.9329
2019-01-28 02 A,1743.4828
2019-01-28 03 A,1633.0924
2019-01-28 04 A,1642.5392
2019-01-28 05 A,1809.225
2019-01-28 06 A,1939.644
2019-01-28 07 A,2193.0085
2019-01-28 08 A,2626.1096
2019-01-28 09 A,2694.8115
2019-01-28 10 A,2642.884
2019-01-28 11 A,2610.4485
2019-01-28 12 A,2400.522
2019-01-28 13 A,2205.5684
2019-01-28 14 A,2120.0032
2019-01-28 15 A,1975.5125
2019-01-28 16 A,1954.9834
2019-01-28 17 A,1993.0902
2019-01-28 18 A,2204.2295
2019-01-28 19 A,2509.4934
2019-01-28 20 A,2594.0723
2019-01-28 21 A,2515.1638
2019-01-28 22 A,2452.2803
2019-01-28 23 A,2294.8145
2019-01-28 24 A,2108.5078
2019-01-29 01 A,1924.9415
2019-01-29 02 A,1719.8068
2019-01-29 03 A,1614.3824
2019-01-29 04 A,1633.2871
2019-01-29 05 A,1762.658
2019-01-29 06 A,1893.4989
2019-01-29 07 A,2126.8489
2019-01-29 08 A,2543.5974
2019-01-29 09 A,2614.7766
2019-01-29 10 A,2564.6008
2019-01-29 11 A,2483.272
2019-01-29 12 A,2295.0269
2019-01-29 13 A,2135.3132
2019-01-29 14 A,2037.4667
2019-01-29 15 A,1907.2163
2019-01-29 16 A,1885.4153
2019-01-29 17 A,1926.2172
2019-01-29 18 A,2069.5554
2019-01-29 19 A,2413.8079
2019-01-29 20 A,2476.101
2019-01-29 21 A,2432.2446
2019-01-29 22 A,2336.06
2019-01-29 23 A,2217.839
2019-01-29 24 A,2014.2408
2019-01-30 01 A,1759.7076
2019-01-30 02 A,1567.4895
2019-01-30 03 A,1458.4541
2019-01-30 04 A,1486.6759
2019-01-30 05 A,1627.5476
2019-01-30 06 A,1713.1727
2019-01-30 07 A,1942.2048
2019-01-30 08 A,2326.4783
2019-01-30 09 A,2395.5618
2019-01-30 10 A,2331.2236
2019-01-30 11 A,2271.766
2019-01-30 12 A,2114.275
2019-01-30 13 A,1968.1545
2019-01-30 14 A,1919.6912
2019-01-30 15 A,1785.0912
2019-01-30 16 A,1763.7227
2019-01-30 17 A,1803.0482
2019-01-30 18 A,1968.0355
2019-01-30 19 A,2399.6804
2019-01-30 20 A,2317.4915
2019-01-30 21 A,2220.7898
2019-01-30 22 A,2131.682
2019-01-30 23 A,2023.198
2019-01-30 24 A,1809.2549
2019-01-31 01 A,1669.6578
2019-01-31 02 A,1451.6779
2019-01-31 03 A,1327.2585
2019-01-31 04 A,1370.4269
2019-01-31 05 A,1512.6887
2019-01-31 06 A,1627.827
2019-01-31 07 A,1868.4375
2019-01-31 08 A,2242.5278
2019-01-31 09 A,2272.8176
2019-01-31 10 A,2168.0364
2019-01-31 11 A,2119.2402
2019-01-31 12 A,2079.2046
2019-01-31 13 A,1821.0166
2019-01-31 14 A,1689.9088
2019-01-31 15 A,1586.7285
2019-01-31 16 A,1569.1373
2019-01-31 17 A,1598.0933
2019-01-31 18 A,1785.0912
2019-01-31 19 A,2156.0457
2019-01-31 20 A,2296.465
2019-01-31 21 A,2069.2432
2019-01-31 22 A,1961.0956
2019-01-31 23 A,1864.169
2019-01-31 24 A,1682.0197
2019-02-01 01 A,1857.937
2019-02-01 02 A,1648.4059
2019-02-01 03 A,1540.6548
2019-02-01 04 A,1558.179
2019-02-01 05 A,1673.3385
2019-02-01 06 A,1812.7148
2019-02-01 07 A,2026.0308
2019-02-01 08 A,2369.6714
2019-02-01 09 A,2498.0286
2019-02-01 10 A,2380.3733
2019-02-01 11 A,2336.492
2019-02-01 12 A,2152.79
2019-02-01 13 A,2045.6676
2019-02-01 14 A,1916.558
2019-02-01 15 A,1752.4558
2019-02-01 16 A,1730.518
2019-02-01 17 A,1774.1655
2019-02-01 18 A,1964.1777
2019-02-01 19 A,2329.6335
2019-02-01 20 A,2424.0186
2019-02-01 21 A,2341.3293
2019-02-01 22 A,2257.039
2019-02-01 23 A,2202.7532
2019-02-01 24 A,2045.3391
2019-02-02 01 A,1816.3319
2019-02-02 02 A,1664.9084
2019-02-02 03 A,1547.3053
2019-02-02 04 A,1570.319
2019-02-02 05 A,1714.098
2019-02-02 06 A,1835.4197
2019-02-02 07 A,2068.836
2019-02-02 08 A,2452.6375
2019-02-02 09 A,2557.1821
2019-02-02 10 A,2508.6055
2019-02-02 11 A,2423.201
2019-02-02 12 A,2216.4614
2019-02-02 13 A,2084.4573
2019-02-02 14 A,1966.056
2019-02-02 15 A,1820.072
2019-02-02 16 A,1798.1342
2019-02-02 17 A,1844.4818
2019-02-02 18 A,2015.4027
2019-02-02 19 A,2367.1711
2019-02-02 20 A,2461.0771
2019-02-02 21 A,2399.2732
2019-02-02 22 A,2316.1196
2019-02-02 23 A,2228.9194
2019-02-02 24 A,2092.5232
2019-02-03 01 A,1825.2092
2019-02-03 02 A,1673.7858
2019-02-03 03 A,1557.9362
2019-02-03 04 A,1580.9498
2019-02-03 05 A,1724.7289
2019-02-03 06 A,1846.0505
2019-02-03 07 A,2079.4663
2019-02-03 08 A,2466.0195
2019-02-03 09 A,2565.062
2019-02-03 10 A,2516.4854
2019-02-03 11 A,2431.1165
2019-02-03 12 A,2234.955
2019-02-03 13 A,2093.932
2019-02-03 14 A,1979.992
2019-02-03 15 A,1834.0079
2019-02-03 16 A,1812.0701
2019-02-03 17 A,1858.4177
2019-02-03 18 A,2029.3386
2019-02-03 19 A,2407.4119
2019-02-03 20 A,2475.0125
2019-02-03 21 A,2415.7534
2019-02-03 22 A,2327.0295
2019-02-03 23 A,2239.8293
2019-02-03 24 A,2103.433
2019-02-04 01 A,1976.4193
2019-02-04 02 A,1710.5693
2019-02-04 03 A,1589.3429
2019-02-04 04 A,1624.3961
2019-02-04 05 A,1825.365
2019-02-04 06 A,1948.249
2019-02-04 07 A,2205.6194
2019-02-04 08 A,2610.9927
2019-02-04 09 A,2710.9907
2019-02-04 10 A,2632.1692
2019-02-04 11 A,2558.1062
2019-02-04 12 A,2350.6597
2019-02-04 13 A,2197.2568
2019-02-04 14 A,2056.7668
2019-02-04 15 A,1939.1576
2019-02-04 16 A,1917.4362
